district,decade,cyclone_count,avg_max_wind_kph,strongest_category,avg_damage_usd_million,avg_fatalities,population_affected_percent,exposure_index,coastal_flag,Latitude,Longitude,predicted_dist_coast,norm_cyclone_count,norm_wind,norm_damage,norm_fatalities,norm_pop_pct,norm_exposure,norm_coastal_fl,proximity_score,CVI_0_1,CVI,CVI_Class,Place
Chuadanga,1970s,2,109,Tropical Storm,16.6,3,26.46,0.25,0,23.63,88.83,133.27223260718276,0.18181818181818182,0.22666666666666668,0.0610989010989011,0.07500000000000001,0.2646,0.25,0,0.5195847501293889,0.19760603745050132,19.76,Low,Chuadanga
Cox's Bazar,1970s,6,175,Category 2,73.4,1,43.67,0.9,1,21.4272,92.0058,0.8136577211409901,0.5454545454545454,0.6666666666666667,0.3107692307692308,0.025,0.43670000000000003,0.9,1,0.9970669540851526,0.5605602618420817,56.06,High,Cox's Bazar
Cumilla,1970s,2,124,Category 1,8.0,1,38.84,0.55,0,23.46,91.18,35.211924425253166,0.18181818181818182,0.32666666666666677,0.023296703296703296,0.025,0.3884,0.55,0,0.8730692422551091,0.2921641569927437,29.22,Medium,Cumilla
Dhaka,1970s,0,116,Tropical Storm,21.3,0,9.78,0.25,0,23.8103,90.4125,22.812268436942265,0.0,0.27333333333333343,0.08175824175824176,0.0,0.0978,0.25,0,0.9177671040181973,0.192320446665556,19.23,Low,Dhaka
Dinajpur,1970s,4,117,Tropical Storm,8.0,1,7.06,0.25,0,25.625,88.65,277.4104956973714,0.36363636363636365,0.28,0.023296703296703296,0.025,0.0706,0.25,0,0.0,0.14834996003996004,14.83,Low,Dinajpur
Faridpur,1970s,2,110,Tropical Storm,10.0,1,3.84,0.25,0,23.607,89.8429,33.59870525010296,0.18181818181818182,0.2333333333333334,0.032087912087912084,0.025,0.0384,0.25,0,0.8788845203364044,0.20006436611955453,20.01,Low,Faridpur
Feni,1970s,5,175,Category 2,18.5,10,39.02,0.9,1,23.02,91.4,4.339493225332895,0.4545454545454546,0.6666666666666667,0.06945054945054946,0.25,0.39020000000000005,0.9,1,0.9843571411585419,0.5385551147152549,53.86,High,Feni
Gaibandha,1970s,9,111,Tropical Storm,6.6,2,47.73,0.25,0,25.33,89.55,205.18064883903156,0.8181818181818182,0.2400000000000001,0.01714285714285714,0.05,0.47729999999999995,0.25,0,0.26037171620620936,0.2800658729193222,28.01,Medium,Gaibandha
Gazipur,1970s,5,156,Category 2,22.2,2,24.03,0.6,1,24.0,90.4167,31.69305148840342,0.4545454545454546,0.54,0.08571428571428572,0.05,0.2403,0.6,1,0.8857539567537577,0.42214435671433675,42.21,Medium,Gazipur
Gopalganj,1970s,5,172,Category 2,25.4,1,56.28,0.6,1,23.02,89.83,42.35917897743101,0.4545454545454546,0.6466666666666667,0.09978021978021978,0.025,0.5628,0.6,1,0.8473050600665057,0.46490935715550175,46.49,Medium,Gopalganj
Habiganj,1970s,1,121,Category 1,12.5,1,54.16,0.25,0,24.38,91.42,102.01272186613583,0.09090909090909091,0.30666666666666675,0.043076923076923075,0.025,0.5416,0.25,0,0.6322679803095047,0.2247347001288526,22.47,Low,Habiganj
Jamalpur,1970s,1,101,Tropical Storm,5.8,4,25.55,0.25,0,24.923,89.9501,144.24911964095668,0.09090909090909091,0.17333333333333334,0.013626373626373624,0.1,0.2555,0.25,0,0.48001563791472834,0.16773188347179252,16.77,Low,Jamalpur
Jashore,1970s,5,148,Category 1,19.5,3,21.41,0.6,1,23.17,89.2,85.72746216922243,0.4545454545454546,0.4866666666666667,0.07384615384615384,0.07500000000000001,0.2141,0.6,1,0.6909725352902906,0.39401599478777033,39.4,Medium,Jashore
Jhalokathi,1970s,8,191,Category 3,72.1,3,53.33,0.9,1,22.64,90.19,9.64399316809603,0.7272727272727273,0.7733333333333334,0.30505494505494507,0.07500000000000001,0.5333,0.9,1,0.9652356586442328,0.6169527167135742,61.7,High,Jhalokathi
Jhenaidah,1970s,1,120,Category 1,11.9,2,27.41,0.25,0,23.55,89.15,99.8654075414815,0.09090909090909091,0.30000000000000004,0.04043956043956044,0.05,0.2741,0.25,0,0.6400085465748736,0.20111315235978508,20.11,Low,Jhenaidah
Joypurhat,1970s,4,111,Tropical Storm,10.0,1,47.47,0.25,0,25.1,89.02,210.057332512968,0.36363636363636365,0.2400000000000001,0.032087912087912084,0.025,0.4747,0.25,0,0.24279241135086438,0.20835788249372783,20.84,Low,Joypurhat
Khagrachhari,1970s,6,121,Category 1,13.5,5,14.76,0.5,0,23.1,91.98,44.09217167729194,0.5454545454545454,0.30666666666666675,0.04747252747252747,0.125,0.1476,0.5,0,0.8410580264223588,0.3275548635812968,32.76,Medium,Khagrachhari
Khulna,1970s,9,205,Category 3,61.3,0,43.25,0.9,1,22.8167,89.55,51.72991900542131,0.8181818181818182,0.8666666666666667,0.25758241758241757,0.0,0.4325,0.9,1,0.8135257324154967,0.600967208606185,60.1,High,Khulna
Kishoreganj,1970s,4,107,Tropical Storm,8.1,0,33.69,0.25,0,24.44,90.77,83.86147523844551,0.36363636363636365,0.21333333333333337,0.02373626373626373,0.0,0.3369,0.25,0,0.6976989820531865,0.23106579231121274,23.11,Low,Kishoreganj
Kurigram,1970s,4,111,Tropical Storm,12.6,2,22.32,0.25,0,25.81,89.65,252.48924287170357,0.36363636363636365,0.2400000000000001,0.04351648351648352,0.05,0.2232,0.25,0,0.08983529178670502,0.17337645625159762,17.34,Low,Kurigram
Kushtia,1970s,2,94,Tropical Storm,9.3,1,44.48,0.25,0,23.9,89.12,114.10660835052775,0.18181818181818182,0.1266666666666667,0.029010989010989016,0.025,0.4448,0.25,0,0.5886723461429257,0.19522161023866821,19.52,Low,Kushtia
Lakshmipur,1970s,4,188,Category 3,96.4,4,39.35,0.9,1,22.95,90.83,4.291181844699926,0.36363636363636365,0.7533333333333334,0.4118681318681319,0.1,0.3935,0.9,1,0.984531292394282,0.5671288035651025,56.71,High,Lakshmipur
Lalmonirhat,1970s,0,89,Tropical Storm,11.6,2,23.46,0.25,0,25.92,89.45,265.3815664489971,0.0,0.09333333333333338,0.039120879120879117,0.05,0.2346,0.25,0,0.043361478512683016,0.09266427971940018,9.27,Low,Lalmonirhat
Madaripur,1970s,6,146,Category 1,5.8,8,25.41,0.6,1,23.17,90.19,15.313143071993538,0.5454545454545454,0.4733333333333334,0.013626373626373624,0.2,0.2541,0.6,1,0.9447996982468222,0.44475210768682,44.48,Medium,Madaripur
Magura,1970s,2,114,Tropical Storm,4.1,0,24.58,0.25,0,23.49,89.42,71.50195544167823,0.18181818181818182,0.26,0.006153846153846152,0.0,0.2458,0.25,0,0.7422521622264786,0.20350102041845208,20.35,Low,Magura
Manikganj,1970s,4,105,Tropical Storm,13.7,1,9.49,0.25,0,23.86,90.0,38.02478568555899,0.36363636363636365,0.20000000000000007,0.048351648351648346,0.025,0.0949,0.25,0,0.862929534839805,0.2288311552821823,22.88,Low,Manikganj
Meherpur,1970s,2,115,Tropical Storm,13.5,1,14.9,0.25,0,23.77,88.63,148.09670694639158,0.18181818181818182,0.2666666666666667,0.04747252747252747,0.025,0.149,0.25,0,0.4661459849451728,0.17715820488812367,17.72,Low,Meherpur
Moulvibazar,1970s,4,116,Tropical Storm,7.4,2,29.88,0.25,0,24.48,91.77,137.64502113539567,0.36363636363636365,0.27333333333333343,0.020659340659340657,0.05,0.2988,0.25,0,0.5038218695028995,0.22390654259464562,22.39,Low,Moulvibazar
Munshiganj,1970s,8,167,Category 2,28.5,0,53.47,0.6,1,23.54,90.53,0.0,0.7272727272727273,0.6133333333333335,0.1134065934065934,0.0,0.5347,0.6,1,1.0,0.5115718981018982,51.16,High,Munshiganj
Mymensingh,1970s,2,124,Category 1,10.8,3,2.55,0.25,0,24.7434,90.3984,114.21111300471469,0.18181818181818182,0.32666666666666677,0.03560439560439561,0.07500000000000001,0.0255,0.25,0,0.5882956312896387,0.19174294974235048,19.17,Low,Mymensingh
Naogaon,1970s,4,112,Tropical Storm,6.9,0,35.62,0.25,0,24.81,88.94,189.27093647553838,0.36363636363636365,0.2466666666666667,0.018461538461538463,0.0,0.35619999999999996,0.25,0,0.31772251082376113,0.19920693639706144,19.92,Low,Naogaon
Narail,1970s,1,122,Category 1,6.9,1,27.11,0.25,0,23.18,89.5,70.05451022845219,0.09090909090909091,0.31333333333333335,0.018461538461538463,0.025,0.2711,0.25,0,0.7474698639200911,0.2065125807976035,20.65,Low,Narail
Narayanganj,1970s,1,150,Category 1,11.2,1,25.78,0.6,1,23.6226,90.501,3.3828178991013105,0.09090909090909091,0.5,0.03736263736263736,0.025,0.25780000000000003,0.6,1,0.9878057321133529,0.3625513324520946,36.26,Medium,Narayanganj
Narsingdi,1970s,5,113,Tropical Storm,9.5,2,25.15,0.25,0,23.9207,90.7188,26.18641527044252,0.4545454545454546,0.2533333333333334,0.029890109890109887,0.05,0.2515,0.25,0,0.9056040932964216,0.2713757439949769,27.14,Medium,Narsingdi
Natore,1970s,1,106,Tropical Storm,13.1,3,4.57,0.25,0,24.42,89.0,155.1596382078644,0.09090909090909091,0.20666666666666667,0.045714285714285714,0.07500000000000001,0.045700000000000005,0.25,0,0.4406857685113368,0.14888208334464018,14.89,Low,Natore
Netrokona,1970s,2,108,Tropical Storm,19.0,0,19.24,0.25,0,24.88,90.73,128.35689341795188,0.18181818181818182,0.22000000000000008,0.07164835164835165,0.0,0.1924,0.25,0,0.5373033990827185,0.1814903199282519,18.15,Low,Netrokona
Nilphamari,1970s,2,116,Tropical Storm,8.2,1,31.52,0.25,0,25.95,88.85,294.2392506393151,0.18181818181818182,0.27333333333333343,0.024175824175824173,0.025,0.3152,0.25,0,0.0,0.14466910089910093,14.47,Low,Nilphamari
Noakhali,1970s,8,188,Category 3,21.2,5,23.1,0.9,1,22.82,91.1,3.4856477682025,0.7272727272727273,0.7533333333333334,0.08131868131868131,0.125,0.231,0.9,1,0.9874350544688655,0.5598822167355979,55.99,High,Noakhali
Pabna,1970s,2,113,Tropical Storm,36.1,1,15.82,0.25,0,24.0064,89.2493,104.88417821369146,0.18181818181818182,0.2533333333333334,0.1468131868131868,0.025,0.1582,0.25,0,0.6219170512996373,0.20655641042466905,20.66,Low,Pabna
Panchagarh,1970s,2,138,Category 1,18.4,1,56.65,0.25,0,26.33,88.56,344.84409227917126,0.18181818181818182,0.42000000000000004,0.06901098901098901,0.025,0.5665,0.25,0,0.0,0.19852437562437564,19.85,Low,Panchagarh
Patuakhali,1970s,5,161,Category 2,17.5,6,18.33,0.9,1,22.35,90.3,2.1604315335758786,0.4545454545454546,0.5733333333333335,0.06505494505494505,0.15000000000000002,0.1833,0.9,1,0.9922121492622518,0.48899127486628513,48.9,Medium,Patuakhali
Pirojpur,1970s,6,177,Category 2,24.9,5,54.39,0.9,1,22.58,89.98,2.5668801960927214,0.5454545454545454,0.6800000000000002,0.09758241758241756,0.125,0.5439,0.9,1,0.9907469968299507,0.5556702441385395,55.57,High,Pirojpur
Rajbari,1970s,4,163,Category 2,12.0,5,50.61,0.6,1,23.72,89.65,53.227720010614995,0.36363636363636365,0.5866666666666667,0.04087912087912088,0.125,0.5061,0.6,1,0.808126509861107,0.43884997366343337,43.88,Medium,Rajbari
Rajshahi,1970s,4,123,Category 1,6.9,1,31.51,0.25,0,24.3745,88.6042,191.61681259532386,0.36363636363636365,0.32000000000000006,0.018461538461538463,0.025,0.3151,0.25,0,0.3092661756952424,0.2090013028842096,20.9,Low,Rajshahi
Rangamati,1970s,5,142,Category 1,7.5,2,22.94,0.5,0,22.65,92.17,23.00520212531517,0.4545454545454546,0.44666666666666677,0.0210989010989011,0.05,0.22940000000000002,0.5,0,0.9170716231644975,0.33549381566310316,33.55,Medium,Rangamati
Rangpur,1970s,2,109,Tropical Storm,21.1,2,19.08,0.25,0,25.7449,89.2756,254.71903611590815,0.18181818181818182,0.22666666666666668,0.08087912087912089,0.05,0.19079999999999997,0.25,0,0.08179740829351134,0.14566433623394653,14.57,Low,Rangpur
Satkhira,1970s,9,220,Category 4,77.9,5,53.91,0.9,1,22.7234,89.0751,49.7815374736277,0.8181818181818182,0.9666666666666668,0.3305494505494506,0.125,0.5390999999999999,0.9,1,0.8205491924576112,0.6570246095554515,65.7,High,Satkhira
Shariatpur,1970s,1,164,Category 2,40.2,3,46.7,0.6,1,23.22,90.35,5.633963162020451,0.09090909090909091,0.5933333333333335,0.16483516483516483,0.07500000000000001,0.467,0.6,1,0.9796908795831338,0.4232807263199518,42.33,Medium,Shariatpur
Sherpur,1970s,2,97,Tropical Storm,15.3,3,8.68,0.25,0,25.0188,90.0175,152.90685141280642,0.18181818181818182,0.14666666666666672,0.055384615384615386,0.07500000000000001,0.0868,0.25,0,0.44880653838125384,0.159891073418545,15.99,Low,Sherpur
Sirajganj,1970s,4,109,Tropical Storm,67.5,1,39.63,0.25,0,24.45,89.71,110.26885916963853,0.36363636363636365,0.22666666666666668,0.28483516483516486,0.025,0.39630000000000004,0.25,0,0.6025065349728822,0.2724013827680175,27.24,Medium,Sirajganj
Sunamganj,1970s,0,112,Tropical Storm,9.4,0,59.56,0.25,0,25.07,91.4,162.64771424666645,0.0,0.2466666666666667,0.02945054945054945,0.0,0.5956,0.25,0,0.413693004520998,0.17984688286968223,17.98,Low,Sunamganj
Sylhet,1970s,1,122,Category 1,10.5,1,15.49,0.25,0,24.899,91.872,179.82763831127104,0.09090909090909091,0.31333333333333335,0.03428571428571429,0.025,0.1549,0.25,0,0.3517633935976021,0.157695560138981,15.77,Low,Sylhet
Tangail,1970s,0,92,Tropical Storm,18.5,0,20.0,0.25,0,24.25,89.9167,81.09414336217502,0.0,0.1133333333333334,0.06945054945054946,0.0,0.2,0.25,0,0.7076745666802706,0.1556850390856095,15.57,Low,Tangail
Thakurgaon,1970s,0,130,Category 1,9.6,1,18.41,0.25,0,26.02,88.46,323.338542995847,0.0,0.3666666666666667,0.03032967032967033,0.025,0.1841,0.25,0,0.0,0.11920945054945056,11.92,Low,Thakurgaon
Bagerhat,1980s,4,187,Category 3,11.3,1,29.22,0.9,1,22.65,89.7667,18.216448569713435,0.36363636363636365,0.7466666666666668,0.037802197802197804,0.025,0.2922,0.9,1,0.9343339604944657,0.4836191802652308,48.36,Medium,Bagerhat
Bandarban,1980s,4,151,Category 1,37.6,3,16.03,0.5,0,22.194,92.218,23.505749307476048,0.36363636363636365,0.5066666666666668,0.1534065934065934,0.07500000000000001,0.1603,0.5,0,0.9152672675617919,0.34736317031262276,34.74,Medium,Bandarban
Barguna,1980s,4,178,Category 3,10.1,3,41.47,0.9,1,22.15,90.13,0.9261178150548535,0.36363636363636365,0.6866666666666668,0.032527472527472526,0.07500000000000001,0.4147,0.9,1,0.9966615617310126,0.4998107315976767,49.98,Medium,Barguna
Barishal,1980s,4,198,Category 3,21.2,1,37.22,0.9,1,22.7,90.37,0.899381680381425,0.36363636363636365,0.8200000000000001,0.08131868131868131,0.025,0.3722,0.9,1,0.9967579392476824,0.515389050668025,51.54,High,Barishal
Bhola,1980s,8,196,Category 3,40.2,5,48.13,0.9,1,22.69,90.65,0.0,0.7272727272727273,0.8066666666666666,0.16483516483516483,0.125,0.4813,0.9,1,1.0,0.6066961838161838,60.67,High,Bhola
Bogura,1980s,3,119,Category 1,10.1,0,21.32,0.25,0,24.85,89.37,169.40081656809386,0.2727272727272727,0.29333333333333333,0.032527472527472526,0.0,0.2132,0.25,0,0.38934964900212676,0.18754317668842446,18.75,Low,Bogura
Brahmanbaria,1980s,4,157,Category 2,19.9,0,51.2,0.55,0,23.96,91.11,53.92480009450332,0.36363636363636365,0.5466666666666666,0.07560439560439561,0.0,0.512,0.55,0,0.8056136990817746,0.36214748379429135,36.21,Medium,Brahmanbaria
Chandpur,1980s,0,174,Category 2,49.6,2,16.23,0.9,1,23.23,90.65,0.6753323067304762,0.0,0.6600000000000001,0.20615384615384616,0.05,0.1623,0.9,1,0.9975655848743834,0.4384096354105153,43.84,Medium,Chandpur
Chapainawabganj,1980s,1,111,Tropical Storm,17.0,1,46.0,0.25,0,24.6,88.27,224.03568032443172,0.09090909090909091,0.2400000000000001,0.06285714285714286,0.025,0.46,0.25,0,0.19240373454062298,0.16555530851899738,16.56,Low,Chapainawabganj
Chattogram,1980s,4,183,Category 3,5.0,0,34.53,0.9,1,22.35,91.83,0.5135106554453361,0.36363636363636365,0.72,0.010109890109890107,0.0,0.3453,0.9,1,0.9981489141059554,0.48340682947253366,48.34,Medium,Chattogram
Chuadanga,1980s,1,126,Category 1,3.8,1,37.49,0.25,0,23.63,88.83,133.27223260718276,0.09090909090909091,0.3400000000000001,0.0048351648351648326,0.025,0.3749,0.25,0,0.5195847501293889,0.1960601133745773,19.61,Low,Chuadanga
Cox's Bazar,1980s,2,173,Category 2,45.4,7,53.7,0.9,1,21.4272,92.0058,0.8136577211409901,0.18181818181818182,0.6533333333333333,0.18769230769230769,0.17500000000000002,0.537,0.9,1,0.9970669540851526,0.5180832688350886,51.81,High,Cox's Bazar
Cumilla,1980s,4,144,Category 1,36.0,4,27.89,0.55,0,23.46,91.18,35.211924425253166,0.36363636363636365,0.4600000000000001,0.14637362637362636,0.1,0.2789,0.55,0,0.8730692422551091,0.35819842272700936,35.82,Medium,Cumilla
Dhaka,1980s,3,96,Tropical Storm,38.0,0,15.87,0.25,0,23.8103,90.4125,22.812268436942265,0.2727272727272727,0.14,0.15516483516483515,0.0,0.15869999999999998,0.25,0,0.9177671040181973,0.23033052658563588,23.03,Low,Dhaka
Dinajpur,1980s,2,107,Tropical Storm,20.0,3,14.58,0.25,0,25.625,88.65,277.4104956973714,0.18181818181818182,0.21333333333333337,0.07604395604395603,0.07500000000000001,0.1458,0.25,0,0.0,0.1340093206793207,13.4,Low,Dinajpur
Faridpur,1980s,1,110,Tropical Storm,13.6,0,14.04,0.25,0,23.607,89.8429,33.59870525010296,0.09090909090909091,0.2333333333333334,0.04791208791208791,0.0,0.1404,0.25,0,0.8788845203364044,0.1952516288568173,19.53,Low,Faridpur
Feni,1980s,3,162,Category 2,31.5,1,24.95,0.9,1,23.02,91.4,4.339493225332895,0.2727272727272727,0.5800000000000001,0.1265934065934066,0.025,0.2495,0.9,1,0.9843571411585419,0.4590338160139561,45.9,Medium,Feni
Gaibandha,1980s,4,114,Tropical Storm,6.5,8,30.34,0.25,0,25.33,89.55,205.18064883903156,0.36363636363636365,0.26,0.0167032967032967,0.2,0.3034,0.25,0,0.26037171620620936,0.21992812067157,21.99,Low,Gaibandha
Gazipur,1980s,2,156,Category 2,61.5,1,55.26,0.6,1,24.0,90.4167,31.69305148840342,0.18181818181818182,0.54,0.25846153846153846,0.025,0.5526,0.6,1,0.8857539567537577,0.4346273537173338,43.46,Medium,Gazipur
Gopalganj,1980s,7,130,Category 1,21.1,4,28.08,0.6,1,23.02,89.83,42.35917897743101,0.6363636363636364,0.3666666666666667,0.08087912087912089,0.1,0.2808,0.6,1,0.8473050600665057,0.43039691959306414,43.04,Medium,Gopalganj
Habiganj,1980s,3,100,Tropical Storm,13.4,0,23.29,0.25,0,24.38,91.42,102.01272186613583,0.2727272727272727,0.16666666666666674,0.047032967032967034,0.0,0.2329,0.25,0,0.6322679803095047,0.19698083399498645,19.7,Low,Habiganj
Jamalpur,1980s,3,117,Tropical Storm,17.0,2,11.86,0.25,0,24.923,89.9501,144.24911964095668,0.2727272727272727,0.28,0.06285714285714286,0.05,0.1186,0.25,0,0.48001563791472834,0.19719922612913515,19.72,Low,Jamalpur
Jashore,1980s,5,131,Category 1,34.7,3,61.02,0.6,1,23.17,89.2,85.72746216922243,0.4545454545454546,0.3733333333333334,0.14065934065934066,0.07500000000000001,0.6102000000000001,0.6,1,0.6909725352902906,0.42664797280974837,42.66,Medium,Jashore
Jhalokathi,1980s,2,170,Category 2,14.9,1,12.89,0.9,1,22.64,90.19,9.64399316809603,0.18181818181818182,0.6333333333333333,0.05362637362637363,0.025,0.12890000000000001,0.9,1,0.9652356586442328,0.4284802491811066,42.85,Medium,Jhalokathi
Jhenaidah,1980s,1,108,Tropical Storm,9.6,1,29.47,0.25,0,23.55,89.15,99.8654075414815,0.09090909090909091,0.22000000000000008,0.03032967032967033,0.025,0.29469999999999996,0.25,0,0.6400085465748736,0.18590666884330156,18.59,Low,Jhenaidah
Joypurhat,1980s,1,130,Category 1,15.5,2,63.51,0.25,0,25.1,89.02,210.057332512968,0.09090909090909091,0.3666666666666667,0.05626373626373626,0.05,0.6351,0.25,0,0.24279241135086438,0.20986516521101053,20.99,Low,Joypurhat
Khagrachhari,1980s,1,120,Category 1,11.3,2,25.2,0.5,0,23.1,91.98,44.09217167729194,0.09090909090909091,0.30000000000000004,0.037802197802197804,0.05,0.252,0.5,0,0.8410580264223588,0.2561124959489292,25.61,Medium,Khagrachhari
Khulna,1980s,3,200,Category 3,21.1,3,15.1,0.9,1,22.8167,89.55,51.72991900542131,0.2727272727272727,0.8333333333333335,0.08087912087912089,0.07500000000000001,0.151,0.9,1,0.8135257324154967,0.47074353228250876,47.07,Medium,Khulna
Kishoreganj,1980s,3,111,Tropical Storm,10.0,3,7.98,0.25,0,24.44,90.77,83.86147523844551,0.2727272727272727,0.2400000000000001,0.032087912087912084,0.07500000000000001,0.07980000000000001,0.25,0,0.6976989820531865,0.20822217592759637,20.82,Low,Kishoreganj
Kurigram,1980s,1,103,Tropical Storm,13.3,0,30.23,0.25,0,25.81,89.65,252.48924287170357,0.09090909090909091,0.18666666666666676,0.0465934065934066,0.0,0.3023,0.25,0,0.08983529178670502,0.12533890380404517,12.53,Low,Kurigram
Kushtia,1980s,1,90,Tropical Storm,15.0,4,34.35,0.25,0,23.9,89.12,114.10660835052775,0.09090909090909091,0.10000000000000009,0.05406593406593407,0.1,0.3435,0.25,0,0.5886723461429257,0.18246348836054635,18.25,Low,Kushtia
Lakshmipur,1980s,4,216,Category 4,11.9,11,48.48,0.9,1,22.95,90.83,4.291181844699926,0.36363636363636365,0.9400000000000002,0.04043956043956044,0.275,0.48479999999999995,0.9,1,0.984531292394282,0.5747945178508168,57.48,High,Lakshmipur
Lalmonirhat,1980s,1,109,Tropical Storm,24.1,1,22.33,0.25,0,25.92,89.45,265.3815664489971,0.09090909090909091,0.22666666666666668,0.09406593406593408,0.025,0.22329999999999997,0.25,0,0.043361478512683016,0.12966240159752204,12.97,Low,Lalmonirhat
Madaripur,1980s,3,151,Category 1,30.6,3,13.13,0.6,1,23.17,90.19,15.313143071993538,0.2727272727272727,0.5066666666666668,0.12263736263736263,0.07500000000000001,0.1313,0.6,1,0.9447996982468222,0.39416466512937753,39.42,Medium,Madaripur
Magura,1980s,0,98,Tropical Storm,7.5,0,14.11,0.25,0,23.49,89.42,71.50195544167823,0.0,0.15333333333333332,0.0210989010989011,0.0,0.1411,0.25,0,0.7422521622264786,0.15200005138748302,15.2,Low,Magura
Manikganj,1980s,1,100,Tropical Storm,4.5,1,25.37,0.25,0,23.86,90.0,38.02478568555899,0.09090909090909091,0.16666666666666674,0.00791208791208791,0.025,0.25370000000000004,0.25,0,0.862929534839805,0.19273613030715733,19.27,Low,Manikganj
Meherpur,1980s,2,125,Category 1,16.5,3,27.41,0.25,0,23.77,88.63,148.09670694639158,0.18181818181818182,0.33333333333333337,0.060659340659340664,0.07500000000000001,0.2741,0.25,0,0.4661459849451728,0.20914622686614565,20.91,Low,Meherpur
Moulvibazar,1980s,2,107,Tropical Storm,13.8,1,17.7,0.25,0,24.48,91.77,137.64502113539567,0.18181818181818182,0.21333333333333337,0.048791208791208796,0.025,0.177,0.25,0,0.5038218695028995,0.17592359554169856,17.59,Low,Moulvibazar
Munshiganj,1980s,3,143,Category 1,30.2,2,42.12,0.6,1,23.54,90.53,0.0,0.2727272727272727,0.45333333333333337,0.12087912087912087,0.05,0.42119999999999996,0.6,1,1.0,0.416660959040959,41.67,Medium,Munshiganj
Mymensingh,1980s,2,107,Tropical Storm,11.6,1,53.54,0.25,0,24.7434,90.3984,114.21111300471469,0.18181818181818182,0.21333333333333337,0.039120879120879117,0.025,0.5354,0.25,0,0.5882956312896387,0.21876042226982303,21.88,Low,Mymensingh
Naogaon,1980s,1,127,Category 1,12.7,1,19.35,0.25,0,24.81,88.94,189.27093647553838,0.09090909090909091,0.3466666666666667,0.04395604395604395,0.025,0.1935,0.25,0,0.31772251082376113,0.16460202131214635,16.46,Low,Naogaon
Narail,1980s,0,112,Tropical Storm,7.7,2,16.1,0.25,0,23.18,89.5,70.05451022845219,0.0,0.2466666666666667,0.021978021978021976,0.05,0.161,0.25,0,0.7474698639200911,0.1761436896887124,17.61,Low,Narail
Narayanganj,1980s,3,166,Category 2,10.1,7,33.58,0.6,1,23.6226,90.501,3.3828178991013105,0.2727272727272727,0.6066666666666667,0.032527472527472526,0.17500000000000002,0.3358,0.6,1,0.9878057321133529,0.4353987849995471,43.54,Medium,Narayanganj
