Place,admin_level,area_km2,population,population_density,landuse_built_pct,landuse_vegetation_pct,landuse_water_pct,buildings_count,building_footprint_area_km2,mean_building_height_m,roads_primary_km,roads_secondary_km,roads_local_km,roads_total_km,infrastructure_age_mean_year,infrastructure_age_median_year,Latitude,Longitude
Jhalokati,district,4755.2,9024885,1897.9,18.07,60.71,4.07,214298,96.15,6.2,1132.5,3633.6,8254.3,13020.4,2011,2007,,
Jhenaidah,district,3749.5,6044603,1612.1,18.5,53.26,9.76,578333,91.04,3.5,372.0,1467.5,8326.8,10166.3,1993,1992,23.55,89.15
Joypurhat,district,5180.4,9012652,1739.8,20.15,54.6,11.25,414851,148.3,3.2,1543.0,4114.8,7473.8,13131.6,2008,2006,25.1,89.02
Khagrachari,district,3044.8,6490648,2131.7,14.92,60.34,6.37,377867,78.24,6.1,506.7,2245.0,4264.4,7016.1,1996,1994,,
Khulna,district,6700.4,8430427,1258.2,22.17,65.29,4.73,601986,249.85,3.0,1897.2,4522.4,14213.6,20633.2,1998,1995,22.8167,89.55
Kishoreganj,district,1345.4,403620,300.0,30.39,51.16,6.76,115278,55.82,3.7,332.2,350.7,1145.5,1828.4,1995,1996,24.44,90.77
Kurigram,district,5931.2,5441146,917.4,19.62,51.59,2.21,894839,108.73,11.4,608.2,3951.9,10113.5,14673.6,2005,2005,25.81,89.65
Kushtia,district,1667.2,1698219,1018.6,17.97,57.33,5.27,84837,39.82,3.0,469.2,917.0,4054.5,5440.7,1986,1983,23.9,89.12
Lakshmipur,district,6211.6,8289103,1334.5,18.09,51.27,8.39,987164,237.13,7.6,1663.8,2936.4,11364.8,15965.0,2005,2006,22.95,90.83
Lalmonirhat,district,1272.7,1442530,1133.4,24.83,58.66,2.19,104816,11.07,3.9,302.4,313.9,3123.1,3739.4,1983,1984,25.92,89.45
Madaripur,district,5882.8,3888243,661.0,21.44,66.04,2.72,1075751,147.64,4.9,1758.1,4661.3,5710.7,12130.1,1984,1988,23.17,90.19
Magura,district,6819.5,9311216,1365.4,19.95,54.78,1.0,532475,163.54,6.2,1961.5,5229.6,15203.2,22394.3,1995,1990,23.49,89.42
Manikganj,district,1775.0,2258114,1272.2,21.6,45.04,10.85,242573,33.31,4.8,463.9,909.1,3710.1,5083.1,2007,2007,23.86,90.0
Meherpur,district,4311.4,7829277,1815.9,19.16,56.34,3.92,181856,120.45,11.5,1164.5,1413.2,4076.3,6654.0,1984,1988,23.77,88.63
Moulvibazar,district,3624.8,3763832,1038.4,23.02,47.6,14.01,398506,132.89,7.3,1219.3,1044.8,8583.0,10847.1,1984,1984,24.48,91.77
Munshiganj,district,3754.8,4491794,1196.3,20.82,42.81,12.49,287763,105.27,3.0,484.8,1529.7,8689.4,10703.9,2014,2013,23.54,90.53
Mymensingh,district,2033.9,1793585,881.8,12.45,54.81,7.57,87217,30.97,3.0,541.8,454.8,4350.4,5347.0,1992,1993,24.7434,90.3984
Naogaon,district,6241.5,10678036,1710.8,13.66,63.87,5.05,295460,92.93,3.0,1541.2,2629.8,9565.5,13736.5,2005,2002,24.81,88.94
Narail,district,6371.2,19415139,3047.3,25.84,45.23,7.49,943063,144.18,3.0,1158.7,1351.0,8153.5,10663.2,1993,1990,23.18,89.5
Narayanganj,district,1718.6,2287342,1330.9,24.37,50.83,12.22,229895,51.55,3.0,409.8,1112.4,2538.4,4060.6,1995,1993,23.6226,90.501
Narsingdi,district,3178.5,5580513,1755.7,31.37,52.48,2.41,270459,101.38,3.5,392.2,991.5,3856.1,5239.8,1998,1996,23.9207,90.7188
Natore,district,3462.4,4965607,1434.2,17.41,56.6,8.95,229386,84.41,3.0,1145.8,1849.1,5986.2,8981.1,2005,2003,24.42,89.0
Netrokona,district,2122.3,1574841,742.0,5.37,70.09,1.49,31954,6.73,9.2,502.8,621.0,3323.6,4447.4,1993,1993,24.88,90.73
Nilphamari,district,3019.6,2532897,838.8,23.32,52.04,12.43,434436,21.13,3.0,526.0,2288.0,6628.4,9442.4,1999,1999,25.95,88.85
Noakhali,district,2087.4,2613328,1252.0,16.91,54.09,12.67,105131,33.96,8.4,259.2,623.2,4521.8,5404.2,2000,2006,22.82,91.1
Pabna,district,3153.0,3272429,1037.9,24.63,57.78,7.0,360227,35.08,4.6,888.7,1581.6,3525.0,5995.3,1996,1998,24.0064,89.2493
Panchagarh,district,4261.3,5715974,1341.4,23.4,61.6,2.09,296640,139.97,11.0,954.7,3137.7,9031.7,13124.1,1994,1991,26.33,88.56
Patuakhali,district,2490.9,5245493,2105.9,20.81,58.58,6.61,401663,56.61,3.0,735.5,722.2,2771.5,4229.2,2006,2009,22.35,90.3
Pirojpur,district,4846.9,7018606,1448.1,31.14,41.74,4.9,493727,191.42,9.3,912.3,2313.0,11657.3,14882.6,2000,1997,22.58,89.98
Rajbari,district,4035.3,4351232,1078.3,18.33,52.86,15.13,625575,65.37,7.9,950.7,2276.0,5905.4,9132.1,1999,1999,23.72,89.65
Rajshahi,district,6553.4,3972914,606.2,17.12,61.47,8.22,688752,108.24,5.5,1117.4,4467.5,4642.0,10226.9,1990,1985,24.3745,88.6042
Rangamati,district,4224.4,4486618,1062.1,22.4,44.3,13.08,488795,103.73,3.0,498.6,1292.0,6746.6,8537.2,2004,2004,22.65,92.17
Rangpur,district,3174.4,7330875,2309.4,25.89,44.86,6.92,213471,98.65,6.6,764.2,762.6,6507.3,8034.1,2000,2000,25.7449,89.2756
Satkhira,district,2230.8,6116755,2742.0,10.25,43.85,13.55,116279,38.84,3.0,272.0,689.7,5022.0,5983.7,1997,1999,22.7234,89.0751
Shariatpur,district,2624.5,1400576,533.7,30.27,49.85,11.74,173955,72.95,3.1,686.1,555.9,2329.0,3571.0,1994,1995,23.22,90.35
Sherpur,district,4916.5,4865324,989.6,16.4,49.56,11.26,644228,85.11,10.6,1280.2,1588.0,6035.8,8904.0,1985,1990,25.0188,90.0175
Sirajganj,district,6356.0,5633743,886.4,25.34,45.06,5.18,987636,242.0,3.0,1211.1,3376.5,9438.8,14026.4,2000,2000,24.45,89.71
Sunamganj,district,5581.6,9952515,1783.1,17.78,63.4,6.66,214090,131.31,3.0,1401.2,1980.0,5307.2,8688.4,1988,1988,25.07,91.4
Sylhet,district,2633.8,3470050,1317.5,11.15,50.9,9.63,192644,29.73,8.1,218.5,743.1,6110.5,7072.1,2000,2003,24.899,91.872
Tangail,district,4603.1,2751481,597.7,21.57,57.33,7.37,464867,94.33,6.1,574.9,2959.0,3908.2,7442.1,1987,1989,24.25,89.9167
Thakurgaon,district,3335.8,2155127,646.1,8.54,70.79,4.1,169924,57.9,4.8,1110.6,2133.4,3625.7,6869.7,1993,1993,26.02,88.46
Dhaka,city,268.7,1056347,3931.3,66.84,21.14,6.59,660348,39.27,19.1,420.2,812.0,2539.1,3771.3,2009,2011,23.8103,90.4125
Chattogram,city,340.1,3695332,10865.4,36.16,42.83,5.09,1384242,20.57,11.1,462.1,1549.3,5527.0,7538.4,2009,2012,22.35,91.83
Khulna,city,339.2,2591069,7638.8,62.6,26.34,1.89,2524503,50.36,12.8,289.3,1183.1,6382.7,7855.1,2009,2008,22.8167,89.55
Rajshahi,city,439.6,3904234,8881.3,63.18,21.68,8.11,1630858,45.49,14.0,338.0,777.8,6922.8,8038.6,2014,2011,24.3745,88.6042
Sylhet,city,113.5,1161980,10237.7,31.84,52.29,5.4,311983,8.34,15.6,105.1,179.9,2063.6,2348.6,2010,2010,24.899,91.872
Barishal,city,377.6,2812415,7448.1,71.91,6.35,17.2,2949679,41.47,5.0,616.5,882.0,2849.6,4348.1,1998,1995,22.7,90.37
Rangpur,city,196.7,629236,3199.0,40.51,45.24,3.72,920312,20.67,11.1,378.2,616.8,2869.4,3864.4,2013,2018,25.7449,89.2756
Mymensingh,city,274.6,1946029,7086.8,48.63,31.62,5.51,1337551,26.73,11.3,537.3,1261.3,5214.3,7012.9,2015,2013,24.7434,90.3984
Gazipur,city,340.6,3416509,10030.9,50.48,29.74,5.18,1346726,48.47,19.2,248.0,1556.9,3310.1,5115.0,2009,2012,24.0,90.4167
Narayanganj,city,288.3,2441658,8469.2,45.42,35.42,2.48,1245397,24.4,12.0,261.9,1121.9,2037.1,3420.9,2006,2010,23.6226,90.501
Cumilla,city,263.0,3318240,12616.9,59.11,15.03,13.3,1258125,37.84,10.6,451.4,1000.6,4709.8,6161.8,2008,2010,23.46,91.18
Bogura,city,391.3,4773869,12200.0,69.03,16.32,13.53,1195916,55.42,8.7,642.1,807.1,6828.8,8278.0,2006,2010,24.85,89.37
