district,decade,cyclone_count,avg_max_wind_kph,strongest_category,avg_damage_usd_million,avg_fatalities,population_affected_percent,exposure_index,coastal_flag
Rajbari,1970s,4,163,Category 2,12,5,50.61,0.6,1
Rajshahi,1970s,4,123,Category 1,6.9,1,31.51,0.25,0
Rangamati,1970s,5,142,Category 1,7.5,2,22.94,0.5,0
Rangpur,1970s,2,109,Tropical Storm,21.1,2,19.08,0.25,0
Satkhira,1970s,9,220,Category 4,77.9,5,53.91,0.9,1
Shariatpur,1970s,1,164,Category 2,40.2,3,46.7,0.6,1
Sherpur,1970s,2,97,Tropical Storm,15.3,3,8.68,0.25,0
Sirajganj,1970s,4,109,Tropical Storm,67.5,1,39.63,0.25,0
Sunamganj,1970s,0,112,Tropical Storm,9.4,0,59.56,0.25,0
Sylhet,1970s,1,122,Category 1,10.5,1,15.49,0.25,0
Tangail,1970s,0,92,Tropical Storm,18.5,0,20,0.25,0
Thakurgaon,1970s,0,130,Category 1,9.6,1,18.41,0.25,0
Bagerhat,1980s,4,187,Category 3,11.3,1,29.22,0.9,1
Bandarban,1980s,4,151,Category 1,37.6,3,16.03,0.5,0
Barguna,1980s,4,178,Category 3,10.1,3,41.47,0.9,1
Barishal,1980s,4,198,Category 3,21.2,1,37.22,0.9,1
Bhola,1980s,8,196,Category 3,40.2,5,48.13,0.9,1
Bogura,1980s,3,119,Category 1,10.1,0,21.32,0.25,0
Brahmanbaria,1980s,4,157,Category 2,19.9,0,51.2,0.55,0
Chandpur,1980s,0,174,Category 2,49.6,2,16.23,0.9,1
Chapainawabganj,1980s,1,111,Tropical Storm,17,1,46,0.25,0
Chattogram,1980s,4,183,Category 3,5,0,34.53,0.9,1
Chuadanga,1980s,1,126,Category 1,3.8,1,37.49,0.25,0
Cox's Bazar,1980s,2,173,Category 2,45.4,7,53.7,0.9,1
Cumilla,1980s,4,144,Category 1,36,4,27.89,0.55,0
Dhaka,1980s,3,96,Tropical Storm,38,0,15.87,0.25,0
Dinajpur,1980s,2,107,Tropical Storm,20,3,14.58,0.25,0
Faridpur,1980s,1,110,Tropical Storm,13.6,0,14.04,0.25,0
Feni,1980s,3,162,Category 2,31.5,1,24.95,0.9,1
Gaibandha,1980s,4,114,Tropical Storm,6.5,8,30.34,0.25,0
Gazipur,1980s,2,156,Category 2,61.5,1,55.26,0.6,1
Gopalganj,1980s,7,130,Category 1,21.1,4,28.08,0.6,1
Habiganj,1980s,3,100,Tropical Storm,13.4,0,23.29,0.25,0
Jamalpur,1980s,3,117,Tropical Storm,17,2,11.86,0.25,0
Jashore,1980s,5,131,Category 1,34.7,3,61.02,0.6,1
Jhalokathi,1980s,2,170,Category 2,14.9,1,12.89,0.9,1
Jhenaidah,1980s,1,108,Tropical Storm,9.6,1,29.47,0.25,0
Joypurhat,1980s,1,130,Category 1,15.5,2,63.51,0.25,0
Khagrachhari,1980s,1,120,Category 1,11.3,2,25.2,0.5,0
Khulna,1980s,3,200,Category 3,21.1,3,15.1,0.9,1
Kishoreganj,1980s,3,111,Tropical Storm,10,3,7.98,0.25,0
Kurigram,1980s,1,103,Tropical Storm,13.3,0,30.23,0.25,0
Kushtia,1980s,1,90,Tropical Storm,15,4,34.35,0.25,0
Lakshmipur,1980s,4,216,Category 4,11.9,11,48.48,0.9,1
Lalmonirhat,1980s,1,109,Tropical Storm,24.1,1,22.33,0.25,0
Madaripur,1980s,3,151,Category 1,30.6,3,13.13,0.6,1
Magura,1980s,0,98,Tropical Storm,7.5,0,14.11,0.25,0
Manikganj,1980s,1,100,Tropical Storm,4.5,1,25.37,0.25,0
Meherpur,1980s,2,125,Category 1,16.5,3,27.41,0.25,0
Moulvibazar,1980s,2,107,Tropical Storm,13.8,1,17.7,0.25,0
Munshiganj,1980s,3,143,Category 1,30.2,2,42.12,0.6,1
Mymensingh,1980s,2,107,Tropical Storm,11.6,1,53.54,0.25,0
Naogaon,1980s,1,127,Category 1,12.7,1,19.35,0.25,0
Narail,1980s,0,112,Tropical Storm,7.7,2,16.1,0.25,0
Narayanganj,1980s,3,166,Category 2,10.1,7,33.58,0.6,1
Narsingdi,1980s,2,104,Tropical Storm,14.6,4,23.99,0.25,0
Natore,1980s,2,112,Tropical Storm,10.5,0,31.23,0.25,0
Netrokona,1980s,2,117,Tropical Storm,16.5,0,15.24,0.25,0
Nilphamari,1980s,3,130,Category 1,13.8,2,60.19,0.25,0
Noakhali,1980s,8,194,Category 3,19.2,2,60.13,0.9,1
Pabna,1980s,3,111,Tropical Storm,22.5,3,4.05,0.25,0
Panchagarh,1980s,1,75,Tropical Storm,7.1,1,27.33,0.25,0
Patuakhali,1980s,5,191,Category 3,62.1,2,50.89,0.9,1
Pirojpur,1980s,2,178,Category 3,32.6,4,58.06,0.9,1
Rajbari,1980s,5,122,Category 1,32.1,1,19.59,0.6,1
Rajshahi,1980s,3,126,Category 1,7.5,1,9.86,0.25,0
Rangamati,1980s,1,133,Category 1,17,5,46.86,0.5,0
Rangpur,1980s,0,115,Tropical Storm,13.8,0,23.29,0.25,0
Satkhira,1980s,3,178,Category 3,28.6,5,76.22,0.9,1
Shariatpur,1980s,2,143,Category 1,15.4,10,35.46,0.6,1
Sherpur,1980s,0,109,Tropical Storm,12.3,2,19.71,0.25,0
Sirajganj,1980s,4,88,Tropical Storm,22.9,1,23.52,0.25,0
Sunamganj,1980s,1,104,Tropical Storm,47.4,1,27.43,0.25,0
Sylhet,1980s,1,110,Tropical Storm,22.9,4,18.9,0.25,0
Tangail,1980s,3,99,Tropical Storm,25.5,1,14.42,0.25,0
Thakurgaon,1980s,5,95,Tropical Storm,8.6,3,21.67,0.25,0
Bagerhat,1990s,3,187,Category 3,27.9,4,68.06,0.9,1
Bandarban,1990s,5,125,Category 1,17.3,6,60.57,0.5,0
Barguna,1990s,6,209,Category 4,35,7,6.32,0.9,1
Barishal,1990s,5,188,Category 3,38.5,5,67.46,0.9,1
Bhola,1990s,10,176,Category 2,54.3,8,28.31,0.9,1
Bogura,1990s,2,98,Tropical Storm,2.7,0,20.76,0.25,0
Brahmanbaria,1990s,2,138,Category 1,29.8,2,47.36,0.55,0
Chandpur,1990s,3,187,Category 3,17.3,9,51.78,0.9,1
Chapainawabganj,1990s,2,96,Tropical Storm,27.8,1,20.59,0.25,0
Chattogram,1990s,8,215,Category 4,54.8,2,57.05,0.9,1
Chuadanga,1990s,2,118,Tropical Storm,4.7,1,13.37,0.25,0
Cox's Bazar,1990s,5,188,Category 3,38.3,2,43.03,0.9,1
Cumilla,1990s,2,148,Category 1,31.5,1,34.29,0.55,0
Dhaka,1990s,1,116,Tropical Storm,9.5,3,18.16,0.25,0
Dinajpur,1990s,1,118,Tropical Storm,19.4,3,2.68,0.25,0
Faridpur,1990s,1,104,Tropical Storm,43.3,0,9.1,0.25,0
Feni,1990s,6,189,Category 3,38.7,5,44.45,0.9,1
Gaibandha,1990s,2,131,Category 1,11,0,3.48,0.25,0
Gazipur,1990s,2,141,Category 1,18.3,2,17.31,0.6,1
Gopalganj,1990s,3,146,Category 1,29.2,2,56.72,0.6,1
Habiganj,1990s,1,116,Tropical Storm,26.3,0,23.85,0.25,0
Jamalpur,1990s,0,116,Tropical Storm,8.7,2,7.56,0.25,0
Jashore,1990s,1,163,Category 2,8.5,0,26.91,0.6,1
Jhalokathi,1990s,5,203,Category 3,42.7,3,41.33,0.9,1
Jhenaidah,1990s,3,94,Tropical Storm,6.1,1,2.81,0.25,0
Joypurhat,1990s,2,119,Category 1,6,1,10.78,0.25,0
Khagrachhari,1990s,3,127,Category 1,15.3,1,43.59,0.5,0
Khulna,1990s,7,182,Category 3,66,5,31.98,0.9,1
Kishoreganj,1990s,2,100,Tropical Storm,8.5,4,45.18,0.25,0
Kurigram,1990s,3,129,Category 1,18.3,3,21.71,0.25,0
Kushtia,1990s,2,110,Tropical Storm,18.6,2,20.99,0.25,0
Lakshmipur,1990s,2,187,Category 3,71.8,2,32.96,0.9,1
Lalmonirhat,1990s,2,102,Tropical Storm,38.8,2,38.75,0.25,0
Madaripur,1990s,7,162,Category 2,19.9,0,6.75,0.6,1
Magura,1990s,3,95,Tropical Storm,12.1,0,42.85,0.25,0
Manikganj,1990s,1,102,Tropical Storm,9.6,2,10.09,0.25,0
Meherpur,1990s,5,109,Tropical Storm,11.5,1,5.02,0.25,0
Moulvibazar,1990s,2,121,Category 1,18.1,0,35.59,0.25,0
Munshiganj,1990s,2,132,Category 1,45.2,1,24.6,0.6,1
Mymensingh,1990s,3,97,Tropical Storm,11.2,2,1.43,0.25,0
Naogaon,1990s,2,92,Tropical Storm,10.4,1,11.02,0.25,0
Narail,1990s,0,99,Tropical Storm,25.4,5,33.03,0.25,0
Narayanganj,1990s,3,134,Category 1,56.3,6,25.87,0.6,1
Narsingdi,1990s,0,107,Tropical Storm,14.1,1,11.83,0.25,0
Natore,1990s,1,114,Tropical Storm,7.4,0,10.46,0.25,0
Netrokona,1990s,2,103,Tropical Storm,15.2,0,43.25,0.25,0
Nilphamari,1990s,2,98,Tropical Storm,8,0,21.8,0.25,0
Noakhali,1990s,2,184,Category 3,26.2,1,12.34,0.9,1
Pabna,1990s,1,110,Tropical Storm,9.6,0,34.61,0.25,0
Panchagarh,1990s,2,125,Category 1,21.3,0,28.12,0.25,0
Patuakhali,1990s,6,194,Category 3,230.2,1,50.01,0.9,1
Pirojpur,1990s,3,183,Category 3,14.9,1,30.48,0.9,1
Rajbari,1990s,7,157,Category 2,18.6,0,42.05,0.6,1
Rajshahi,1990s,1,104,Tropical Storm,23.3,1,21.42,0.25,0
Rangamati,1990s,3,133,Category 1,5.3,0,20.75,0.5,0
Rangpur,1990s,1,101,Tropical Storm,9.7,3,35.73,0.25,0
Satkhira,1990s,7,201,Category 3,42.7,2,20.45,0.9,1
Shariatpur,1990s,5,139,Category 1,33.7,2,37.06,0.6,1
Sherpur,1990s,0,92,Tropical Storm,15,0,23.95,0.25,0
Sirajganj,1990s,3,78,Tropical Storm,13.7,6,22.91,0.25,0
Sunamganj,1990s,1,120,Category 1,20.2,1,69.83,0.25,0
Sylhet,1990s,2,108,Tropical Storm,14.9,0,35.82,0.25,0
Tangail,1990s,0,102,Tropical Storm,12.3,4,1.46,0.25,0
Thakurgaon,1990s,1,121,Category 1,12.7,2,9.16,0.25,0
Bagerhat,2000s,10,205,Category 3,118,6,60.08,0.9,1
Bandarban,2000s,2,133,Category 1,12.2,1,28.39,0.5,0
Barguna,2000s,4,199,Category 3,197,8,51.9,0.9,1
Barishal,2000s,5,185,Category 3,20,6,42.86,0.9,1
Bhola,2000s,4,187,Category 3,25.8,1,72.67,0.9,1
Bogura,2000s,2,118,Tropical Storm,13.4,2,9.85,0.25,0
Brahmanbaria,2000s,2,154,Category 2,29.8,1,34.35,0.55,0
Chandpur,2000s,5,187,Category 3,12.8,9,47.42,0.9,1
Chapainawabganj,2000s,2,82,Tropical Storm,19,2,18.57,0.25,0
Chattogram,2000s,8,214,Category 4,21.3,1,57.64,0.9,1
Chuadanga,2000s,4,84,Tropical Storm,4.2,2,43.96,0.25,0
Cox's Bazar,2000s,4,187,Category 3,117.5,1,35.66,0.9,1
Cumilla,2000s,6,134,Category 1,10.3,4,62.52,0.55,0
Dhaka,2000s,1,104,Tropical Storm,19.3,0,4.72,0.25,0
Dinajpur,2000s,1,108,Tropical Storm,6.9,4,38.42,0.25,0
Faridpur,2000s,0,111,Tropical Storm,27.1,1,25.95,0.25,0
Feni,2000s,5,190,Category 3,60.6,1,49.87,0.9,1
Gaibandha,2000s,2,106,Tropical Storm,53.2,0,16.33,0.25,0
Gazipur,2000s,5,126,Category 1,22.7,2,47.8,0.6,1
Gopalganj,2000s,6,151,Category 1,37.4,5,19.88,0.6,1
Habiganj,2000s,1,113,Tropical Storm,16.1,3,25.93,0.25,0
Jamalpur,2000s,1,115,Tropical Storm,3.7,1,25.88,0.25,0
Jashore,2000s,6,146,Category 1,19.1,1,58.95,0.6,1
Jhalokathi,2000s,10,188,Category 3,56.7,8,48.65,0.9,1
Jhenaidah,2000s,4,87,Tropical Storm,15.5,2,10.01,0.25,0
Joypurhat,2000s,1,129,Category 1,14.2,3,8.5,0.25,0
Khagrachhari,2000s,2,140,Category 1,8.2,3,28.06,0.5,0
Khulna,2000s,1,197,Category 3,65.6,24,65.69,0.9,1
Kishoreganj,2000s,2,99,Tropical Storm,33.3,0,37.31,0.25,0
Kurigram,2000s,2,93,Tropical Storm,3.1,2,33.42,0.25,0
Kushtia,2000s,6,90,Tropical Storm,8.2,5,3.62,0.25,0
Lakshmipur,2000s,5,206,Category 3,30.8,4,43.66,0.9,1
Lalmonirhat,2000s,4,123,Category 1,26.7,0,31.06,0.25,0
Madaripur,2000s,4,146,Category 1,43.3,0,37.04,0.6,1
Magura,2000s,2,98,Tropical Storm,13.6,1,5.78,0.25,0
Manikganj,2000s,2,114,Tropical Storm,4.9,0,28.78,0.25,0
Meherpur,2000s,1,121,Category 1,5.5,0,22.6,0.25,0
Moulvibazar,2000s,1,107,Tropical Storm,12,6,8.76,0.25,0
Munshiganj,2000s,5,169,Category 2,25.5,2,31.04,0.6,1
Mymensingh,2000s,2,127,Category 1,4.7,2,18.68,0.25,0
Naogaon,2000s,1,108,Tropical Storm,7.7,2,20.77,0.25,0
Narail,2000s,0,104,Tropical Storm,14.4,1,15.16,0.25,0
Narayanganj,2000s,7,185,Category 3,52.3,2,55.85,0.6,1
Narsingdi,2000s,2,118,Tropical Storm,11,3,16.38,0.25,0
Natore,2000s,2,108,Tropical Storm,9.3,0,15.33,0.25,0
Netrokona,2000s,1,118,Tropical Storm,6.2,1,8.96,0.25,0
Nilphamari,2000s,1,102,Tropical Storm,11.4,3,12.32,0.25,0
Noakhali,2000s,6,173,Category 2,15.2,1,38.88,0.9,1
Pabna,2000s,0,106,Tropical Storm,11.2,2,18.48,0.25,0
Panchagarh,2000s,2,90,Tropical Storm,16.7,0,7.71,0.25,0
Patuakhali,2000s,8,216,Category 4,146,8,61.23,0.9,1
Pirojpur,2000s,5,184,Category 3,44.2,5,23.51,0.9,1
Rajbari,2000s,4,129,Category 1,42.4,1,27.41,0.6,1
Rajshahi,2000s,1,103,Tropical Storm,18.5,2,61.61,0.25,0
Rangamati,2000s,8,136,Category 1,14.6,0,41.89,0.5,0
Rangpur,2000s,4,96,Tropical Storm,9.6,0,35.61,0.25,0
Satkhira,2000s,3,171,Category 2,54.6,6,71.78,0.9,1
Shariatpur,2000s,2,163,Category 2,21.6,3,22.4,0.6,1
Sherpur,2000s,4,98,Tropical Storm,38.5,0,40.84,0.25,0
Sirajganj,2000s,1,104,Tropical Storm,13.4,4,6.79,0.25,0
Sunamganj,2000s,0,93,Tropical Storm,4.5,1,42.41,0.25,0
Sylhet,2000s,2,112,Tropical Storm,22.1,0,31.17,0.25,0
Tangail,2000s,1,116,Tropical Storm,4.6,4,12.76,0.25,0
Thakurgaon,2000s,0,124,Category 1,24.9,1,12.08,0.25,0
Bagerhat,2010s,2,174,Category 2,75.4,3,7.75,0.9,1
Bandarban,2010s,2,148,Category 1,11.9,2,15.42,0.5,0
Barguna,2010s,5,174,Category 2,21.6,3,19.14,0.9,1
Barishal,2010s,7,175,Category 2,19.1,2,36.56,0.9,1
Bhola,2010s,3,188,Category 3,53.2,3,38.49,0.9,1
Bogura,2010s,2,121,Category 1,17.1,4,36.95,0.25,0
Brahmanbaria,2010s,4,144,Category 1,10.7,2,64.5,0.55,0
Chandpur,2010s,4,185,Category 3,18.7,10,45.62,0.9,1
Chapainawabganj,2010s,0,120,Category 1,10.4,3,27.36,0.25,0
Chattogram,2010s,2,199,Category 3,88.5,3,52.38,0.9,1
Chuadanga,2010s,2,111,Tropical Storm,8.1,2,43.29,0.25,0
Cox's Bazar,2010s,4,187,Category 3,19.5,0,71.79,0.9,1
Cumilla,2010s,5,149,Category 1,13.3,1,35.84,0.55,0
Dhaka,2010s,1,105,Tropical Storm,11.5,0,27.94,0.25,0
Dinajpur,2010s,0,108,Tropical Storm,18.2,0,19.92,0.25,0
Faridpur,2010s,1,101,Tropical Storm,16.8,5,5.3,0.25,0
Feni,2010s,3,187,Category 3,33,0,51.81,0.9,1
Gaibandha,2010s,1,104,Tropical Storm,18.1,3,26.27,0.25,0
Gazipur,2010s,0,146,Category 1,20.4,2,48.12,0.6,1
Gopalganj,2010s,3,169,Category 2,35.6,6,66.67,0.6,1
Habiganj,2010s,3,95,Tropical Storm,26.5,0,73.52,0.25,0
Jamalpur,2010s,1,107,Tropical Storm,20.9,5,7.86,0.25,0
Jashore,2010s,3,155,Category 2,9.7,3,22.26,0.6,1
Jhalokathi,2010s,4,182,Category 3,43.8,8,53.38,0.9,1
Jhenaidah,2010s,1,111,Tropical Storm,30.6,0,9.6,0.25,0
Joypurhat,2010s,1,119,Category 1,18.7,3,31.34,0.25,0
Khagrachhari,2010s,6,124,Category 1,18.1,1,53.79,0.5,0
Khulna,2010s,5,166,Category 2,21,9,29.03,0.9,1
Kishoreganj,2010s,0,119,Category 1,40.7,2,11.11,0.25,0
Kurigram,2010s,3,99,Tropical Storm,12.3,0,27.83,0.25,0
Kushtia,2010s,0,110,Tropical Storm,29.8,1,21.09,0.25,0
Lakshmipur,2010s,7,189,Category 3,63.3,4,35.17,0.9,1
Lalmonirhat,2010s,0,117,Tropical Storm,7,5,13.66,0.25,0
Madaripur,2010s,5,159,Category 2,41.4,1,54.09,0.6,1
Magura,2010s,1,84,Tropical Storm,15.9,2,32.24,0.25,0
Manikganj,2010s,2,106,Tropical Storm,18.8,6,25.15,0.25,0
Meherpur,2010s,2,91,Tropical Storm,6.1,1,45.03,0.25,0
Moulvibazar,2010s,5,108,Tropical Storm,26,1,25.46,0.25,0
Munshiganj,2010s,2,150,Category 1,28.8,1,44.64,0.6,1
Mymensingh,2010s,1,118,Tropical Storm,8.6,0,29.25,0.25,0
Naogaon,2010s,1,106,Tropical Storm,19.3,0,11.07,0.25,0
Narail,2010s,2,117,Tropical Storm,5,3,21.55,0.25,0
Narayanganj,2010s,3,172,Category 2,12.1,4,25.88,0.6,1
Narsingdi,2010s,2,113,Tropical Storm,8.4,1,3.39,0.25,0
Natore,2010s,3,118,Tropical Storm,16.1,0,22.32,0.25,0
Netrokona,2010s,0,102,Tropical Storm,33.5,1,68.55,0.25,0
Nilphamari,2010s,2,110,Tropical Storm,9.4,1,26.31,0.25,0
Noakhali,2010s,2,178,Category 3,71.5,2,37.76,0.9,1
Pabna,2010s,2,104,Tropical Storm,9.2,1,48.67,0.25,0
Panchagarh,2010s,0,121,Category 1,8.3,1,16.94,0.25,0
Patuakhali,2010s,6,199,Category 3,26.3,6,33.26,0.9,1
Pirojpur,2010s,0,194,Category 3,30.8,0,39.32,0.9,1
Rajbari,2010s,4,147,Category 1,22.3,6,30.32,0.6,1
Rajshahi,2010s,0,133,Category 1,18.5,4,29.14,0.25,0
Rangamati,2010s,5,153,Category 1,75.1,0,23.2,0.5,0
Rangpur,2010s,2,93,Tropical Storm,15.2,1,10.66,0.25,0
Satkhira,2010s,5,225,Category 4,56.4,2,33.22,0.9,1
Shariatpur,2010s,3,158,Category 2,12.1,3,21.93,0.6,1
Sherpur,2010s,0,106,Tropical Storm,12.1,1,30.74,0.25,0
Sirajganj,2010s,2,120,Category 1,3.5,6,46.49,0.25,0
Sunamganj,2010s,1,114,Tropical Storm,12.7,2,60.68,0.25,0
Sylhet,2010s,3,108,Tropical Storm,16.1,1,18.96,0.25,0
Tangail,2010s,0,125,Category 1,5.2,3,10.22,0.25,0
Thakurgaon,2010s,2,108,Tropical Storm,25.1,2,23.03,0.25,0
Bagerhat,2020s,3,189,Category 3,19.2,2,54.85,0.9,1
Bandarban,2020s,2,139,Category 1,21,0,32.45,0.5,0
Barguna,2020s,6,183,Category 3,53.1,1,48.92,0.9,1
Barishal,2020s,3,185,Category 3,41.5,1,53.65,0.9,1
Bhola,2020s,5,185,Category 3,11.1,5,48.93,0.9,1
Bogura,2020s,5,108,Tropical Storm,20.4,1,14.25,0.25,0
Brahmanbaria,2020s,3,145,Category 1,21.7,4,22.93,0.55,0
Chandpur,2020s,10,179,Category 3,15.8,2,39.75,0.9,1
Chapainawabganj,2020s,2,104,Tropical Storm,10,4,41.79,0.25,0
Chattogram,2020s,4,202,Category 3,11.6,7,35.99,0.9,1
Chuadanga,2020s,1,113,Tropical Storm,4.6,1,30.09,0.25,0
Cox's Bazar,2020s,7,208,Category 3,52.4,3,74.62,0.9,1
Cumilla,2020s,3,152,Category 1,11.5,1,34.63,0.55,0
Dhaka,2020s,2,110,Tropical Storm,16.9,2,42.92,0.25,0
Dinajpur,2020s,4,108,Tropical Storm,4.4,1,48.72,0.25,0
Faridpur,2020s,1,102,Tropical Storm,10.4,2,52.11,0.25,0
Feni,2020s,3,208,Category 3,73,1,41.92,0.9,1
Gaibandha,2020s,2,122,Category 1,7,1,48.82,0.25,0
Gazipur,2020s,1,145,Category 1,23.1,3,46.14,0.6,1
Gopalganj,2020s,3,163,Category 2,20.9,0,51.92,0.6,1
Habiganj,2020s,1,106,Tropical Storm,17.9,2,20,0.25,0
Jamalpur,2020s,3,92,Tropical Storm,4.7,10,5.38,0.25,0
Jashore,2020s,2,149,Category 1,14.2,2,39.55,0.6,1
Jhalokathi,2020s,1,186,Category 3,15.9,2,36.54,0.9,1
Jhenaidah,2020s,2,110,Tropical Storm,15.4,2,8.39,0.25,0
Joypurhat,2020s,1,118,Tropical Storm,14,1,25.88,0.25,0
Khagrachhari,2020s,1,130,Category 1,28.1,4,24.18,0.5,0
Khulna,2020s,6,205,Category 3,20.1,6,51.01,0.9,1
Kishoreganj,2020s,3,131,Category 1,14.9,0,29.54,0.25,0
Kurigram,2020s,1,102,Tropical Storm,6.9,1,41.17,0.25,0
Kushtia,2020s,2,85,Tropical Storm,8.7,0,58.3,0.25,0
Lakshmipur,2020s,2,212,Category 4,56.3,11,48.35,0.9,1
Lalmonirhat,2020s,3,101,Tropical Storm,26.2,1,49.54,0.25,0
Madaripur,2020s,4,142,Category 1,20.4,1,28.02,0.6,1
Magura,2020s,1,96,Tropical Storm,25.9,2,3.56,0.25,0
Manikganj,2020s,2,111,Tropical Storm,12.2,1,36.17,0.25,0
Meherpur,2020s,2,107,Tropical Storm,16.1,2,29.68,0.25,0
Moulvibazar,2020s,0,103,Tropical Storm,14.9,1,8.95,0.25,0
Munshiganj,2020s,2,149,Category 1,30.5,8,15.53,0.6,1
Mymensingh,2020s,3,99,Tropical Storm,22.4,2,34.98,0.25,0
Naogaon,2020s,2,89,Tropical Storm,11.3,4,22.8,0.25,0
Narail,2020s,1,105,Tropical Storm,16.7,2,12.87,0.25,0
Narayanganj,2020s,4,154,Category 2,15.1,0,54.55,0.6,1
Narsingdi,2020s,1,109,Tropical Storm,7.7,2,21.38,0.25,0
Natore,2020s,0,104,Tropical Storm,10.1,0,25.12,0.25,0
Netrokona,2020s,2,116,Tropical Storm,6.4,2,21.24,0.25,0
Nilphamari,2020s,1,113,Tropical Storm,4.8,4,24.1,0.25,0
Noakhali,2020s,3,183,Category 3,36.1,3,41.69,0.9,1
Pabna,2020s,1,94,Tropical Storm,17.1,3,20.87,0.25,0
Panchagarh,2020s,2,102,Tropical Storm,14.6,5,14.13,0.25,0
Patuakhali,2020s,5,182,Category 3,24.4,8,38.65,0.9,1
Pirojpur,2020s,3,177,Category 2,55.1,1,28.28,0.9,1
Rajbari,2020s,1,136,Category 1,34,0,37.38,0.6,1
Rajshahi,2020s,4,134,Category 1,12,4,16.34,0.25,0
Rangamati,2020s,4,145,Category 1,19.2,2,46.61,0.5,0
Rangpur,2020s,2,104,Tropical Storm,36,5,42.9,0.25,0
Satkhira,2020s,7,177,Category 2,36.6,1,37.1,0.9,1
Shariatpur,2020s,3,150,Category 1,23.4,4,25.37,0.6,1
